Event,TouchPoint,unique_input_json,diff_keys_vs_global,step 1 op,step 2 op,step 3 op,step 4 op,step 5 op,flow
activateFamily,Discovery/Browse (global),"{
  ""familyIds"": [
    ""910130168""
  ],
  ""activationType"": ""PERMANENT""
}","[""activationType"", ""familyIds""]",activateFamily,,,,,activateFamily
activateFamily,List (FONTLIST),"{
  ""familyIds"": [
    ""910130168""
  ],
  ""activationType"": ""PERMANENT"",
  ""listIds"": [
    ""210ad1c8-b742-49e4-9074-4be65d4be610""
  ],
  ""listType"": ""FONTLIST""
}","[""activationType"", ""familyIds"", ""listIds"", ""listType""]",createAsset,addFontListFamilies,activateFamily,,,createAsset → addFontListFamilies → activateFamily
activateFamily,Favourite,"{
  ""familyIds"": [
    ""910130168""
  ],
  ""activationType"": ""PERMANENT"",
  ""listType"": ""FAVORITE""
}","[""activationType"", ""familyIds"", ""listType""]",addFavoriteFamilies,activateFamily,,,,addFavoriteFamilies → activateFamily
activateFamily,Project,"{
  ""familyIds"": [
    ""910130168""
  ],
  ""activationType"": ""PERMANENT"",
  ""listIds"": [
    ""project_c2a7788f-e731-4f65-8cc6-1db42ff41138""
  ],
  ""listType"": ""FONTPROJECT"",
  ""projectId"": ""c2a7788f-e731-4f65-8cc6-1db42ff41138""
}","[""activationType"", ""familyIds"", ""listIds"", ""listType"", ""projectId""]",createProject,addFontProjectFamilies,activateFamily,,,createProject → addFontProjectFamilies → activateFamily
activateFamily,Project > List,"{
  ""familyIds"": [
    ""910130168""
  ],
  ""activationType"": ""PERMANENT"",
  ""listIds"": [
    ""210ad1c8-b742-49e4-9074-4be65d4be610""
  ],
  ""listType"": ""FONTLIST"",
  ""projectId"": ""c2a7788f-e731-4f65-8cc6-1db42ff41138""
}","[""activationType"", ""familyIds"", ""listIds"", ""listType"", ""projectId""]",createProject,addFontProjectFamilies,createAsset,addFontListFamilies,activateFamily,createProject → addFontProjectFamilies → createAsset → addFontListFamilies → activateFamily
activateFontProject,Project,"{
  ""projectId"": ""c2a7788f-e731-4f65-8cc6-1db42ff41138"",
  ""activationType"": ""PERMANENT""
}","[""activationType"", ""projectId""]",createProject,addFontProjectFamilies,activateFontProject,,,createProject → addFontProjectFamilies → activateFontProject
activateList,List (FONTLIST),"{
  ""listId"": ""210ad1c8-b742-49e4-9074-4be65d4be610"",
  ""listType"": ""FONTLIST"",
  ""activationType"": ""PERMANENT""
}","[""activationType"", ""listId"", ""listType""]",createAsset,addFontListFamilies,activateList,,,createAsset → addFontListFamilies → activateList
activateList,Favourite,"{
  ""listType"": ""FAVORITE"",
  ""activationType"": ""PERMANENT""
}","[""activationType"", ""listType""]",addFavoriteFamilies,activateList,,,,addFavoriteFamilies → activateList
activateList,Project > List,"{
  ""listId"": ""210ad1c8-b742-49e4-9074-4be65d4be610"",
  ""listType"": ""FONTLIST"",
  ""activationType"": ""PERMANENT"",
  ""projectId"": ""c2a7788f-e731-4f65-8cc6-1db42ff41138""
}","[""activationType"", ""listId"", ""listType"", ""projectId""]",createProject,createAsset,addFontListFamilies,activateList,,createProject → createAsset → addFontListFamilies → activateList
activateStyle,Discovery/Browse (global),"{
  ""activationType"": ""PERMANENT"",
  ""styleIds"": [
    ""920374778""
  ]
}","[""activationType"", ""styleIds""]",activateStyle,,,,,activateStyle
