#,Routing Key,Event / Operation Name,Trigger,Recipient,Email / Target User,xCorrelationId,Enriched in Mongo?,Result Status
1,subscription.contract.expiry,subscriptionContractExpiring,A-1,All User with Permission,agentqatest@gmail.com,094979b3-2bf7-48fa-a34f-4d02c8b8264d,YES,PASS
2,subscription.seats.limitreached,subscriptionContractExpiring,A-2,All User with Permission,agentqatest@gmail.com,0c2f1e30-a34b-4e8b-813a-d4b99fe3ea38,YES,PASS
3,subscription.seats.warning,workspaceSeatLimitNotification,A-3,All User with Permission,agentqatest@gmail.com,190f3ba1-1dca-418c-ad7c-2e3edfa929b2,YES,PASS
4,subscription.production.limitreached,productionFontUsageOverageNotification,A-4,All User with Permission,agentqatest@gmail.com,af66eb03-3c30-4fdc-b751-edc09a88766c,YES,PASS
5,byof.licence.expiring,byofLicenceExpiring,A-6,All User with Permission,agentqatest@gmail.com,7890cbe5-f218-45db-97d8-93e16d2230a1,YES,PASS
6,byof.licence.expired,byofLicenceExpired,A-7,All User with Permission,agentqatest@gmail.com,fc137408-b328-4701-9fec-e5d6fb349bdf,YES,PASS
7,byof.licence.overused,byofLicenceOverused,A-8,All User with Permission,agentqatest@gmail.com,ad468bcb-18b5-4a7d-92c8-d49f728096f7,YES,PASS
8,byof.font.unlicensed,byofLicenceUnlicensedUse,A-9,All User with Permission,agentqatest@gmail.com,57f55394-e9c9-4b35-a581-e7d881a5d1c2,No (DLQ),WARN
9,byof.font.nolicense,byofFontNoLicense,A-10,All User with Permission,agentqatest@gmail.com,9cffa1b1-a0e1-4298-9d1d-c43e67443e9c,No (DLQ),WARN
10,reporting.window.open,quarterlyReportingWindowOpen,A-11,All User with Permission,agentqatest@gmail.com,067628cf-f264-42d7-817e-f639d1094989,YES,PASS
11,reporting.window.closing,quarterlyReportingWindowClosing,A-12,All User with Permission,agentqatest@gmail.com,d83f6223-cb6b-4d9a-a023-043a228fe65f,YES,PASS
12,reporting.window.final,quarterlyReportingWindowFinal,A-13,All User with Permission,agentqatest@gmail.com,78572ead-59e0-49aa-9e71-496ebe3e4eb1,YES,PASS
